JHSAA SCHOOL AND TOWN NAME CHANGES — the tennis association's mapping
==============================================================================
Generated from quarterback/tennis-team-manager by
scripts/prep_network_name_map.py. Re-run after any rename batch.

WHAT THIS IS. The tennis association (the JHSAA) is built from THIS repo's
institution records, and it renames a lot of them at emit. This repo keeps the
published record under the ORIGINAL names, so the two disagree ON PURPOSE. This
file is the mapping, written down so that anybody reading a record here and
finding a different name in the tennis coverage knows why, and so the eventual
sync has a plain-text reference that does not require reading Python.

IT IS NOT AN INSTRUCTION TO RENAME ANYTHING HERE. The sync is approved but
deferred — see docs/NOTE-tennis-association-name-changes.md. When it is run it
is run by scripts/rename_prep_network.py off the authoritative tables in the
tennis repo, never by hand off this file.

  * SOURCE  — the name in records/orgs/schools.json
  * BECOMES — the name the tennis association uses

==============================================================================
SCHOOLS — 332 renames whose source record is still in this repo
==============================================================================
SOURCE                                        BECOMES                           CLASS CITY
Anneliese Halvorsen                           Washington                        4A    Port Veles
Ansotegui Siding Commonwealth                 Pinebluffs                        7A    Ansotegui Siding
Belmonte Agricultural Sciences Academy        Pelican Town                      6A    Belmonte
Belmonte Applied Sciences Institute           Yazoo                             2A    Belmonte
Belmonte Civic Leadership Academy             Keeler                            9A    Belmonte
Belmonte Health Sciences Academy              Dusty Spur                        6A    Belmonte
Belmonte International School                 Belmonte Collegiate               6A    Belmonte
Belyakov Academy of Music and Media           Walter-Kenny                      4A    Belyakov
Belyakov Environmental Sciences Academy       Friendship City                   9A    Belyakov
Belyakov Polytechnic Institute                Morne Caribou Polytechnic         5A    Belyakov
Belyakov School of Design and Engineering     Grande-Savane Arts                9A    Belyakov
Belyakov School of Science and Industry       Kongisburg                        8A    Belyakov
Carroway School of Public Service             Liberty Hill                      6A    Carroway
Caswell School of Science and Industry        Chester A. Arthur                 5A    Caswell
Caswell University Prep                       Palisade Prep                     9A    Caswell
Clara Cross                                   Red Mesa                          8A    Valderra
Dahlberg School of Science and Industry       Hartford City                     3A    Dahlberg Summit
Echevarria Foundry High                       Bitterroot                        9A    Echevarria
Echevarria I-50 Technical                     Red Bluff                         8A    Echevarria
Fellows Mill International School             Mill Bar                          3A    Fellows Mill
Fort Salish Independent School                Weller Independent                3A    Fort Weller
Fort Valois School of Design and Engineering  Valois Bluffs                     9A    Fort Valois
Fort Valois School of Public Service          Sagebrush                         9A    Fort Valois
Gagarin School of Public Service              Star City                         5A    Gagarin
Halbrook Technical                            Basin Gate                        9A    Halbrook
Harrow School of Design and Engineering       New Boston                        5A    Harrow
Igor Chernov North                            Fillmore                          7A    Port Veles
Iker Aramburu North                           Highland Park                     5A    Belmonte
Imani Cross                                   Apalachicola                      8A    San Borondón
Irina Kovalenko                               Faith Academy                     4A    Santa Michaela
Javier Villalba                               Los Feliz                         9A    Llerena
John F. Kennedy North                         Box Canyon                        6A    Harriman
Leire Aramburu                                Furnace Creek                     9A    Echevarria
Llerena School of Science and Industry        Crow Basin                        8A    Llerena
Lorna Booker                                  Blue Grama                        6A    Moriarty
Marcus Langston                               Rutherford Hayes                  6A    Port Veles
Marcus Langston North                         Garfield                          3A    Port Veles
Marian Cross                                  Quail Hollow                      9A    Fort Valois
Marina Moroz                                  Cleveland                         6A    Port Veles
Mercer City Technical Arts Academy            Twin Mills                        9A    Mercer City
Moriarty Foundry High                         Windmill Ridge                    6A    Moriarty
Nadia Chernov North                           Roosevelt                         6A    Port Veles
Nadia Sidorov                                 Adams                             6A    Port Veles
Orellana Foundry High                         Grizzly Gulch                     4A    Orellana
Orellana School of Commerce                   Malpais                           9A    Orellana
Pauli Booker                                  Nightfall                         6A    Vespertine
Port Veles Agricultural Sciences Academy      Biden                             5A    Port Veles
Port Veles Civic Leadership Academy           Severn                            6A    Port Veles
Port Veles East                               Clinton                           7A    Port Veles
Puerto Gallego School of Science and Industry Gallego Bay                       3A    Puerto Gallego
Puerto de los Reyes School of Commerce        Reyes Landing                     7A    Puerto de los Reyes
Ralph Booker                                  Obama                             6A    Port Veles
Ralph Booker North                            Christchurch Episcopal            6A    Port Veles
Roscoe Bennett North                          Narragansett                      7A    Port Veles
Rye Academy of Arts and Letters               Barley Point                      5A    Rye
San Borondón Country Day School               Hazel Country Day                 8A    San Borondón
San Borondón Environmental Sciences Academy   Sotavento                         8A    San Borondón
San Cordero Maritime Academy                  Mission Butte                     6A    San Cordero
San Cordero School of Commerce                Mesa Verde                        9A    San Cordero
Serrano Applied Sciences Institute            Arroyo Seco                       9A    Serrano
Serrano Depot High                            Cholla Flats                      5A    Serrano
Sofia Romanov                                 Chesapeake                        8A    Port Veles
Sofia Romanov North                           Cheney                            5A    Port Veles
St. Casimir High School North                 Casimir Creek                     3A    Harriman
St. Elias School                              Tidewater Catholic                6A    Port Veles
St. Genevieve High School                     Pope Victor I                     6A    San Cordero
Starlight School of Science and Industry      Observatory                       7A    Starlight
Thelma Avery                                  Readbury                          9A    Port Veles
Valderra Aviation and Engineering Academy     Coyote Bend                       9A    Valderra
Vernon Moss                                   Pointe Coupee Catholic            6A    San Borondón
Walter Hart                                   Kittery                           5A    Port Veles
Walter Hart North                             Wicomico                          7A    Port Veles
Wolf Gap International School                 Wolf Gap International            2A    Corey Canyon

==============================================================================
TOWNS — 60 renames
==============================================================================
Alder Landing                                 Bay Oregon
Alderfield                                    Linden
Aldermont                                     Cape Angeles
Ashfield                                      California Beach
Ashwood                                       Gruesome Ridge
Aspen Harbor                                  East Simmons
Aspen Meadows                                 Mount Clambake
Basalt Fork                                   Río Salado
Brackwood                                     Brackwood Pass
Cedarport                                     North San Francisco
Clear Prairie                                 Clear Rim
Copper Crossing                               Copper Gap
Dahlberg                                      Dahlberg Summit
Doyle Junction                                Doyle Pass
Elk Prairie                                   Carolina Island
Elmburg                                       Mt Jacqueline
Elmfield                                      Nurmes
Ewart Bar                                     Fountain Park
Ewart City                                    Cook City
Ewartville                                    Fort Tabor
Farleyford                                    Aftdahl Ridge
Fig Gap                                       Río Verde
Fort Rogue                                    Fort Halloran
Fort Salish                                   Fort Weller
Garrity                                       Texas Beach
Gold Junction                                 Seamus Town
Goodman                                       Fort Bardsley
Granite Bar                                   New Penzance Island
Graymont                                      Georgia Mills
Gulch Bend                                    West El Paso
Harmon                                        Annes Summit
Hetfield                                      Brynildson Hill
Huckle Lake                                   Mount Dylan Lake
Keldale                                       Espoo
Kelview                                       Iisalmi
Marsh Depot                                   Jersey City
Marshdale                                     Fort Lassiter
Milldale                                      Sotkamo
Millport                                      Vonjo City
Millview                                      Kuusamo
Norford                                       Meridian Passage
Ransom City                                   Ransom Pass
Ransom Spur                                   Río Seco
Rentie Grove                                  Jamaica
Rimrock                                       New Ballard
Sage Lake                                     Sage Village
Sage Meadows                                  Galactica Plains
Sage Point                                    California Canyons
Silton                                        Silton Ridge
Silvale                                       Fort Wren
Standale                                      Lieksa
Stone Meadows                                 Raahe
Stone Springs                                 Simmons
Thornford                                     Thorn Summit
Trout Point                                   North Simmons
Tule                                          New Bergen
Walnut Yard                                   South Simmons
Wickbrook                                     Salmon Bay
Winvale                                       Mount Ruth
Wolf Gap                                      Corey Canyon

==============================================================================
AREAS — 7 renames
==============================================================================
Harborline                                    Selquah
North Range                                   Millersylvania
Sage Plains                                   Kangas
Siskiyou Valley                               Southern Jefferson
South Coast                                   Sebastian Cape
Timber Valley                                 Alderwold
Vermilion Valley                              Yarrowmere

==============================================================================
SUBSTITUTIONS — not renames
==============================================================================
A magnet school's TENNIS SEAT was given to its city's flagship. Both schools keep
their own identity here; the magnet simply fields no tennis team, exactly as it
would not in life. NOTHING in this repo changes for these.

Altamonte School of Commerce                  seat -> Altamonte
Bellacosta University Prep                    seat -> Bellacosta
Calder Aviation and Engineering Academy       seat -> Calder
Copper Lake Academy of Music and Media        seat -> Copper Lake
Copperview Polytechnic Institute              seat -> Copperview
Fort Meriwether School of Public Service      seat -> Fort Meriwether
Mercer City School of Design and Engineering  seat -> Mercer City
Mount Horeb Academy of Arts and Letters       seat -> Mount Horeb
Puerto de los Reyes Civic Leadership Academy  seat -> Puerto de los Reyes

==============================================================================
ALSO ASSOCIATION-SIDE ONLY — nothing to sync
==============================================================================
  * LOCALITY — programs in the five big metros carry a settlement name (a CDP,
    an unincorporated place, an absorbed town) beside their city. The CITY is
    unchanged; the locality is a tennis-side field with no counterpart here.
  * SPONSORSHIP — which schools field tennis is a decision the tennis repo makes
    about its own association. A school joining or leaving it changes nothing in
    these records.
