school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
Cherry Hill,Caswell,Halbrook,Halbrook Basin,450000,3127,7A,True,private/independent,Hawks,Foundry Conference,new
Cherry Hill North,Caswell,Halbrook,Halbrook Basin,450000,3336,7A,False,district/neighborhood,Bears,Foundry Conference,new
Cherry Hill South,Caswell,Halbrook,Halbrook Basin,450000,2855,7A,False,district/neighborhood,Bears,Foundry Conference,new
Andrew Jackson,Caswell,Halbrook,Halbrook Basin,450000,3561,7A,False,magnet/technical,Spartans,Foundry Conference,new
Caswell West,Caswell,Halbrook,Halbrook Basin,450000,2444,6A,True,private/independent,Firebirds,Foundry Conference,new
Salvador Montalvo,Caswell,Halbrook,Halbrook Basin,450000,3236,7A,False,namesake,Marlins,Foundry Conference,new
Tatiana Moroz,Caswell,Halbrook,Halbrook Basin,450000,4070,7A,False,namesake,Hawks,Foundry Conference,new
Amaia Echevarria,Echevarria,Vance,Halbrook Basin,280000,2394,6A,False,namesake,Mavericks,Gateway League,new
Echevarria,Echevarria,Vance,Halbrook Basin,280000,2473,6A,False,city flagship,Stags,Gateway League,new
Echevarria North,Echevarria,Vance,Halbrook Basin,280000,2528,6A,False,district/neighborhood,Pelicans,Gateway League,new
Echevarria South,Echevarria,Vance,Halbrook Basin,280000,1963,5A,False,district/neighborhood,Ravens,Gateway League,new
William McKinley,Echevarria,Vance,Halbrook Basin,280000,1617,4A,False,magnet/technical,Ravens,Gateway League,new
Harold Tillman,Echevarria,Vance,Halbrook Basin,280000,2631,7A,False,namesake,Timberwolves,Gateway League,new
Echevarria Central,Echevarria,Vance,Halbrook Basin,280000,2354,6A,False,namesake,Loggers,Gateway League,new
Mae Jemison,Echevarria,Vance,Halbrook Basin,280000,2008,5A,False,namesake,Bears,Gateway League,new
St. Elias College Prep,Echevarria,Vance,Halbrook Basin,280000,1240,3A,True,private/independent,Vikings,Gateway League,new
St. Raphael Preparatory,Echevarria,Vance,Halbrook Basin,280000,953,2A,True,private/independent,Marlins,Gateway League,new
Andrés Ibarra,Belmonte,Halbrook,Halbrook Basin,1100000,2908,7A,False,namesake,Coyotes,I-50 Metro Conference,new
Belmonte East,Belmonte,Halbrook,Halbrook Basin,1100000,2364,6A,False,magnet/technical,Spartans,I-50 Metro Conference,new
Belmonte Collegiate Academy,Belmonte,Halbrook,Halbrook Basin,1100000,1399,3A,True,private/independent,Pelicans,I-50 Metro Conference,new
Belmonte West,Belmonte,Halbrook,Halbrook Basin,1100000,2697,7A,False,magnet/technical,Timberwolves,I-50 Metro Conference,new
Belmonte River Plain,Belmonte,Halbrook,Halbrook Basin,1100000,2217,6A,False,district/neighborhood,Coyotes,I-50 Metro Conference,new
I-50 Technical,Belmonte,Halbrook,Halbrook Basin,1100000,2849,7A,False,district/neighborhood,Panthers,I-50 Metro Conference,new
Sandra Day O'Connor,Belmonte,Halbrook,Halbrook Basin,1100000,3395,7A,False,namesake,Panthers,I-50 Metro Conference,new
Miren Elorriaga,Belmonte,Halbrook,Halbrook Basin,1100000,2466,6A,False,namesake,Ravens,I-50 Metro Conference,new
Nicolás Ordoñez,Belmonte,Halbrook,Halbrook Basin,1100000,2514,6A,False,namesake,Condors,I-50 Metro Conference,new
Bayard Rustin,Belyakov,Vance,Halbrook Basin,950000,2376,6A,False,namesake,Lancers,Intermountain Athletic Conference,new
Belyakov South,Belyakov,Vance,Halbrook Basin,950000,2284,6A,False,magnet/technical,Vikings,Intermountain Athletic Conference,new
Belyakov East,Belyakov,Vance,Halbrook Basin,950000,3154,7A,False,district/neighborhood,Miners,Intermountain Athletic Conference,new
Belyakov Manufacturing and Technology Academy,Belyakov,Vance,Halbrook Basin,950000,2498,6A,False,magnet/technical,Vikings,Intermountain Athletic Conference,new
Belyakov River Plain,Belyakov,Vance,Halbrook Basin,950000,2909,7A,False,district/neighborhood,Trojans,Intermountain Athletic Conference,new
Belyakov Technical,Belyakov,Vance,Halbrook Basin,950000,1919,5A,False,magnet/technical,Condors,Intermountain Athletic Conference,new
Dorothy Height,Belyakov,Vance,Halbrook Basin,950000,2331,6A,False,namesake,Bears,Intermountain Athletic Conference,new
José Martí,Belyakov,Vance,Halbrook Basin,950000,3067,7A,False,namesake,Coyotes,Intermountain Athletic Conference,new
Unai Etxeberria,Belyakov,Vance,Halbrook Basin,950000,2154,5A,False,namesake,Foxes,Intermountain Athletic Conference,new
Belmonte,Belmonte,Halbrook,Halbrook Basin,1100000,2650,7A,False,city flagship,Vikings,Jefferson-Idaho Conference,new
Belmonte International,Belmonte,Halbrook,Halbrook Basin,1100000,2655,7A,False,magnet/technical,Ravens,Jefferson-Idaho Conference,new
Benjamin Banneker,Belmonte,Halbrook,Halbrook Basin,1100000,3088,7A,False,namesake,Foxes,Jefferson-Idaho Conference,new
Elena Mendoza,Belmonte,Halbrook,Halbrook Basin,1100000,3060,7A,False,namesake,Trojans,Jefferson-Idaho Conference,new
Javier Alvarado,Belmonte,Halbrook,Halbrook Basin,1100000,3108,7A,False,namesake,Miners,Jefferson-Idaho Conference,new
River Plain,Belmonte,Halbrook,Halbrook Basin,1100000,2501,6A,False,district/neighborhood,Navigators,Jefferson-Idaho Conference,new
Rosa Castañeda,Belmonte,Halbrook,Halbrook Basin,1100000,2380,6A,False,namesake,Coyotes,Jefferson-Idaho Conference,new
St. Lucia Academy,Belmonte,Halbrook,Halbrook Basin,1100000,1494,4A,True,private/independent,Wolves,Jefferson-Idaho Conference,new
Yelena Sokolov,Belmonte,Halbrook,Halbrook Basin,1100000,2204,6A,False,namesake,Vikings,Jefferson-Idaho Conference,new
Anya Belov,Llerena,Halbrook,Halbrook Basin,380000,3180,7A,False,namesake,Firebirds,Llerena Union Conference,new
Ella Baker,Llerena,Halbrook,Halbrook Basin,380000,2734,7A,False,namesake,Engineers,Llerena Union Conference,new
Javier Cárdenas,Llerena,Halbrook,Halbrook Basin,380000,2848,7A,False,namesake,Navigators,Llerena Union Conference,new
Alonso Villalba,Llerena,Halbrook,Halbrook Basin,380000,2418,6A,False,namesake,Pilots,Llerena Union Conference,new
Llerena,Llerena,Halbrook,Halbrook Basin,380000,3490,7A,False,city flagship,Knights,Llerena Union Conference,new
Llerena North,Llerena,Halbrook,Halbrook Basin,380000,2828,7A,False,magnet/technical,Titans,Llerena Union Conference,new
Llerena South,Llerena,Halbrook,Halbrook Basin,380000,2095,5A,False,magnet/technical,Miners,Llerena Union Conference,new
St. Brigid Preparatory,Llerena,Halbrook,Halbrook Basin,380000,1586,4A,True,private/independent,Foxes,Llerena Union Conference,new
Viktor Kareva,Llerena,Halbrook,Halbrook Basin,380000,3554,7A,False,namesake,Foxes,Llerena Union Conference,new
West Bench,Llerena,Halbrook,Halbrook Basin,380000,2626,7A,False,district/neighborhood,Bears,Llerena Union Conference,new
Edith Tillman,Madrigal,Halbrook,Halbrook Basin,120000,1376,3A,False,namesake,Steelheads,Madrigal Heritage Athletic Association,new
Javier Castañeda,Madrigal,Halbrook,Halbrook Basin,120000,1252,3A,False,namesake,Owls,Madrigal Heritage Athletic Association,new
Lucía Quiñones,Madrigal,Halbrook,Halbrook Basin,120000,1211,3A,False,namesake,Titans,Madrigal Heritage Athletic Association,new
Madrigal,Madrigal,Halbrook,Halbrook Basin,120000,1911,5A,False,city flagship,Ospreys,Madrigal Heritage Athletic Association,new
Madrigal Maritime Academy,Madrigal,Halbrook,Halbrook Basin,120000,1546,4A,False,magnet/technical,Wolves,Madrigal Heritage Athletic Association,new
Madrigal West Bench,Madrigal,Halbrook,Halbrook Basin,120000,1343,3A,False,district/neighborhood,Owls,Madrigal Heritage Athletic Association,new
Western Sky,Northrup,Vance,Halbrook Basin,70000,1518,4A,False,namesake,Ravens,Northrup Regional Athletic Association,new
Northrup I-50 Technical,Northrup,Vance,Halbrook Basin,70000,1506,4A,False,district/neighborhood,Ospreys,Northrup Regional Athletic Association,new
St. Martin High School,Northrup,Vance,Halbrook Basin,70000,695,2A,True,private/independent,Eagles,Northrup Regional Athletic Association,new
Ainhoa Mendizabal,Simmons,Vance,Halbrook Basin,70000,1448,4A,False,namesake,Timberwolves,Northrup Regional Athletic Association,new
Oksana Petrov,Simmons,Vance,Halbrook Basin,70000,1072,3A,False,namesake,Condors,Northrup Regional Athletic Association,new
Ander Arrieta,Weissburg,Halbrook,Halbrook Basin,70000,1503,4A,False,namesake,Lancers,Northrup Regional Athletic Association,new
Ralph Bellamy,Weissburg,Halbrook,Halbrook Basin,70000,1500,4A,False,namesake,Comets,Northrup Regional Athletic Association,new
Sergei Petrenko,Weissburg,Halbrook,Halbrook Basin,70000,993,2A,False,namesake,Navigators,Northrup Regional Athletic Association,new
Weissburg,Weissburg,Halbrook,Halbrook Basin,70000,1043,3A,False,city flagship,Loggers,Northrup Regional Athletic Association,new
Amaia Etxeberria,Carden City,Vance,Halbrook Basin,120000,1911,5A,False,namesake,Sentinels,Orchard Valley League,new
Beatriz Mendoza,Carden City,Vance,Halbrook Basin,120000,1347,3A,False,namesake,Titans,Orchard Valley League,new
Carden City,Carden City,Vance,Halbrook Basin,120000,1708,4A,False,city flagship,Stags,Orchard Valley League,new
Carden City West Bench,Carden City,Vance,Halbrook Basin,120000,1194,3A,False,district/neighborhood,Wolves,Orchard Valley League,new
Opal Tillman,Carden City,Vance,Halbrook Basin,120000,1446,4A,False,namesake,Falcons,Orchard Valley League,new
St. Casimir Carden City,Carden City,Vance,Halbrook Basin,120000,1033,3A,True,private/independent,Eagles,Orchard Valley League,new
Alina Antonov,Orellana,Vance,Halbrook Basin,320000,2051,5A,False,namesake,Timberwolves,Orellana Pioneer League,new
Canal View,Orellana,Vance,Halbrook Basin,320000,2646,7A,False,district/neighborhood,Spartans,Orellana Pioneer League,new
James K. Polk,Orellana,Vance,Halbrook Basin,320000,2358,6A,False,namesake,Jaguars,Orellana Pioneer League,new
Lev Kareva,Orellana,Vance,Halbrook Basin,320000,2293,6A,False,namesake,Sentinels,Orellana Pioneer League,new
Mikel Elorriaga,Orellana,Vance,Halbrook Basin,320000,1810,5A,False,namesake,Stags,Orellana Pioneer League,new
Orellana,Orellana,Vance,Halbrook Basin,320000,2023,5A,False,city flagship,Miners,Orellana Pioneer League,new
Orellana Canal View,Orellana,Vance,Halbrook Basin,320000,2473,6A,False,district/neighborhood,Mustangs,Orellana Pioneer League,new
Orellana North,Orellana,Vance,Halbrook Basin,320000,2859,7A,False,district/neighborhood,Steelheads,Orellana Pioneer League,new
Orellana South,Orellana,Vance,Halbrook Basin,320000,2078,5A,False,magnet/technical,Firebirds,Orellana Pioneer League,new
Orellana Treasure Valley,Orellana,Vance,Halbrook Basin,320000,2450,6A,False,district/neighborhood,Panthers,Orellana Pioneer League,new
Benton Cross,Benton Cross,Halbrook,Halbrook Basin,15000,552,1A,False,city flagship,Falcons,Pomar Central Conference,new
Walter Davenport,Benton Cross,Halbrook,Halbrook Basin,15000,528,1A,False,namesake,Jaguars,Pomar Central Conference,new
Berrio,Berrio,Halbrook,Halbrook Basin,10000,720,2A,False,city flagship,Bison,Pomar Central Conference,new
Carmina,Carmina,Vance,Halbrook Basin,10000,720,2A,False,city flagship,Pioneers,Pomar Central Conference,new
Eagleton,Eagleton,Vance,Halbrook Basin,15000,484,1A,False,city flagship,Lancers,Pomar Central Conference,new
Eagleton West,Eagleton,Vance,Halbrook Basin,15000,596,1A,False,magnet/technical,Condors,Pomar Central Conference,new
Greaves Junction,Greaves Junction,Halbrook,Halbrook Basin,12000,501,1A,False,city flagship,Knights,Pomar Central Conference,new
Greaves Junction South,Greaves Junction,Halbrook,Halbrook Basin,12000,363,1A,False,district/neighborhood,Bison,Pomar Central Conference,new
Meridia,Meridia,Vance,Halbrook Basin,12000,436,1A,False,city flagship,Steelheads,Pomar Central Conference,new
Meridia Manufacturing and Technology Academy,Meridia,Vance,Halbrook Basin,12000,428,1A,False,magnet/technical,Bears,Pomar Central Conference,new
St. Francis Xavier College Prep,Pomar,Halbrook,Halbrook Basin,18000,406,1A,True,private/independent,Pioneers,Pomar Central Conference,new
Starlake,Starlake,Vance,Halbrook Basin,18000,528,1A,False,city flagship,Pelicans,Pomar Central Conference,new
Starlake Canal View,Starlake,Vance,Halbrook Basin,18000,768,2A,False,district/neighborhood,Owls,Pomar Central Conference,new
Beatriz Zamora,Serrano,Halbrook,Halbrook Basin,320000,2344,6A,False,namesake,Steelheads,Serrano Civic Conference,new
Bellarmine Prep,Serrano,Halbrook,Halbrook Basin,320000,2131,5A,False,namesake,Firebirds,Serrano Civic Conference,new
Edith Mercer,Serrano,Halbrook,Halbrook Basin,320000,2446,6A,False,namesake,Engineers,Serrano Civic Conference,new
Inés Valera,Serrano,Halbrook,Halbrook Basin,320000,2223,6A,False,namesake,Engineers,Serrano Civic Conference,new
Nicolás Salcedo,Serrano,Halbrook,Halbrook Basin,320000,2348,6A,False,namesake,Falcons,Serrano Civic Conference,new
Romare Bearden,Serrano,Halbrook,Halbrook Basin,320000,1678,4A,False,namesake,Mustangs,Serrano Civic Conference,new
Serrano,Serrano,Halbrook,Halbrook Basin,320000,2681,7A,False,city flagship,Stags,Serrano Civic Conference,new
Serrano North,Serrano,Halbrook,Halbrook Basin,320000,2538,6A,False,magnet/technical,Mustangs,Serrano Civic Conference,new
Serrano South,Serrano,Halbrook,Halbrook Basin,320000,2779,7A,False,district/neighborhood,Spartans,Serrano Civic Conference,new
St. Isidore Academy,Serrano,Halbrook,Halbrook Basin,320000,1871,5A,True,private/independent,Pelicans,Serrano Civic Conference,new
Ketanji Brown Jackson,Belmonte,Halbrook,Halbrook Basin,1100000,2932,7A,False,namesake,Vikings,Snake Plain League,new
Belmonte North,Belmonte,Halbrook,Halbrook Basin,1100000,2645,7A,False,magnet/technical,Jaguars,Snake Plain League,new
Belmonte South,Belmonte,Halbrook,Halbrook Basin,1100000,2827,7A,False,magnet/technical,Engineers,Snake Plain League,new
James Madison,Belmonte,Halbrook,Halbrook Basin,1100000,2987,7A,False,magnet/technical,Comets,Snake Plain League,new
Woodrow Wilson,Belmonte,Halbrook,Halbrook Basin,1100000,2689,7A,False,magnet/technical,Stags,Snake Plain League,new
Depot High,Belmonte,Halbrook,Halbrook Basin,1100000,2847,7A,False,district/neighborhood,Sentinels,Snake Plain League,new
Jon Etxeberria,Belmonte,Halbrook,Halbrook Basin,1100000,3124,7A,False,namesake,Falcons,Snake Plain League,new
Leire Garmendia,Belmonte,Halbrook,Halbrook Basin,1100000,2572,6A,False,namesake,Railers,Snake Plain League,new
Nerea Mendizabal,Belmonte,Halbrook,Halbrook Basin,1100000,2504,6A,False,namesake,Titans,Snake Plain League,new
Shirley Chisholm,Belmonte,Halbrook,Halbrook Basin,1100000,2080,5A,False,namesake,Sentinels,Snake Plain League,new
St. Basil Academy,Belmonte,Halbrook,Halbrook Basin,1100000,1070,3A,True,private/independent,Hawks,Snake Plain League,new
St. Ignatius,Belmonte,Halbrook,Halbrook Basin,1100000,1607,4A,True,private/independent,Pioneers,Snake Plain League,new
Treasure Valley,Belmonte,Halbrook,Halbrook Basin,1100000,3365,7A,False,district/neighborhood,Bears,Snake Plain League,new
Drayfield Foundry High,Drayfield,Vance,Halbrook Basin,52259,1254,3A,False,district/neighborhood,Railers,Tolland Western League,new
Homecroft,Homecroft,Vance,Halbrook Basin,50000,1635,4A,False,city flagship,Loggers,Tolland Western League,new
Homecroft Manufacturing and Technology Academy,Homecroft,Vance,Halbrook Basin,50000,967,2A,False,magnet/technical,Owls,Tolland Western League,new
Cardinal Newman,Homecroft,Vance,Halbrook Basin,50000,997,2A,False,namesake,Spartans,Tolland Western League,new
Pomar,Pomar,Halbrook,Halbrook Basin,18000,890,2A,False,city flagship,Grizzlies,Tolland Western League,new
Garazi Mendizabal,Tolland,Vance,Halbrook Basin,60000,1358,3A,False,namesake,Bison,Tolland Western League,new
St. Jerome High School,Tolland,Vance,Halbrook Basin,60000,987,2A,True,private/independent,Engineers,Tolland Western League,new
Tolland,Tolland,Vance,Halbrook Basin,60000,1023,3A,False,city flagship,Sentinels,Tolland Western League,new
Walter Browne,Tolland,Vance,Halbrook Basin,60000,952,2A,False,namesake,Engineers,Tolland Western League,new
Aitor Echevarria,Aldecoa,Vance,Halbrook Basin,250000,2304,6A,False,namesake,Bison,Treasure Valley League,new
Aldecoa,Aldecoa,Vance,Halbrook Basin,250000,2049,5A,False,city flagship,Pilots,Treasure Valley League,new
Aldecoa North,Aldecoa,Vance,Halbrook Basin,250000,1888,5A,False,magnet/technical,Hawks,Treasure Valley League,new
Aldecoa South,Aldecoa,Vance,Halbrook Basin,250000,2289,6A,False,magnet/technical,Spartans,Treasure Valley League,new
Ulysses Grant,Aldecoa,Vance,Halbrook Basin,250000,1892,5A,False,district/neighborhood,Bison,Treasure Valley League,new
Esteban Téllez,Aldecoa,Vance,Halbrook Basin,250000,1457,4A,False,namesake,Falcons,Treasure Valley League,new
Fannie Lou Hamer,Aldecoa,Vance,Halbrook Basin,250000,1545,4A,False,namesake,Marlins,Treasure Valley League,new
Pope Leo XIV,Aldecoa,Vance,Halbrook Basin,250000,1521,4A,False,namesake,Mavericks,Treasure Valley League,new
Pavel Kovalenko,Aldecoa,Vance,Halbrook Basin,250000,1813,5A,False,namesake,Timberwolves,Treasure Valley League,new
St. Catherine College Prep,Aldecoa,Vance,Halbrook Basin,250000,1241,3A,True,private/independent,Mavericks,Treasure Valley League,new
Amalia Escobedo,Belyakov,Vance,Halbrook Basin,950000,3061,7A,False,namesake,Bears,West Bench Conference,new
Anya Orlov,Belyakov,Vance,Halbrook Basin,950000,2914,7A,False,namesake,Miners,West Bench Conference,new
Belyakov,Belyakov,Vance,Halbrook Basin,950000,2116,5A,False,city flagship,Foxes,West Bench Conference,new
Belyakov North,Belyakov,Vance,Halbrook Basin,950000,3172,7A,False,magnet/technical,Miners,West Bench Conference,new
Belyakov West,Belyakov,Vance,Halbrook Basin,950000,3165,7A,False,magnet/technical,Pelicans,West Bench Conference,new
Theodore Roosevelt,Belyakov,Vance,Halbrook Basin,950000,2268,6A,False,magnet/technical,Hawks,West Bench Conference,new
Lorraine Calder,Belyakov,Vance,Halbrook Basin,950000,1866,5A,False,namesake,Loggers,West Bench Conference,new
Mila Chernov,Belyakov,Vance,Halbrook Basin,950000,2891,7A,False,namesake,Engineers,West Bench Conference,new
St. Agnes Academy,Belyakov,Vance,Halbrook Basin,950000,1749,4A,True,private/independent,Spartans,West Bench Conference,new
Breakwater,Fort Meriwether,Weller,Harborline,210000,2942,7A,False,district/neighborhood,Coyotes,Admiralty League,new
Fort Meriwether,Fort Meriwether,Weller,Harborline,210000,2737,7A,False,city flagship,Firebirds,Admiralty League,new
Fort Meriwether Breakwater,Fort Meriwether,Weller,Harborline,210000,2004,5A,False,district/neighborhood,Spartans,Admiralty League,new
Fort Meriwether Foundry High,Fort Meriwether,Weller,Harborline,210000,2748,7A,False,district/neighborhood,Owls,Admiralty League,new
Fort Meriwether School of Public Service,Fort Meriwether,Weller,Harborline,210000,2259,6A,False,magnet/technical,Mustangs,Admiralty League,new
Klara Marchand,Fort Meriwether,Weller,Harborline,210000,2430,6A,False,namesake,Lancers,Admiralty League,new
Lev Volkov,Newark River,Weller,Harborline,60029,1081,3A,False,namesake,Loggers,Breakwater League,new
Emilia Jansen,San Dámaso,Bidwell,Harborline,82000,1159,3A,False,namesake,Titans,Breakwater League,new
Pacific Gate,San Dámaso,Bidwell,Harborline,82000,1972,5A,False,district/neighborhood,Navigators,Breakwater League,new
San Dámaso,San Dámaso,Bidwell,Harborline,82000,1533,4A,False,city flagship,Sentinels,Breakwater League,new
San Dámaso Harbor Gate,San Dámaso,Bidwell,Harborline,82000,1240,3A,False,district/neighborhood,Owls,Breakwater League,new
Elena Markov,Wales City,Weller,Harborline,68000,1081,3A,False,namesake,Navigators,Breakwater League,new
Katherine Bellamy,Wales City,Weller,Harborline,68000,1374,3A,False,namesake,Railers,Breakwater League,new
Renata Adler,Wales City,Weller,Harborline,68000,1084,3A,False,namesake,Comets,Breakwater League,new
Wales City,Wales City,Weller,Harborline,68000,1358,3A,False,city flagship,Grizzlies,Breakwater League,new
George Washington,Port Veles,Bidwell,Harborline,1200000,3416,7A,False,namesake,Loggers,Coastal Metro Conference,new
Beacon Hill,Port Veles,Bidwell,Harborline,1200000,2980,7A,False,district/neighborhood,Knights,Coastal Metro Conference,new
James Monroe,Port Veles,Bidwell,Harborline,1200000,2555,6A,False,namesake,Pioneers,Coastal Metro Conference,new
Janice Davenport,Port Veles,Bidwell,Harborline,1200000,3233,7A,False,namesake,Bison,Coastal Metro Conference,new
Rutherford B. Hayes,Port Veles,Bidwell,Harborline,1200000,2618,7A,False,namesake,Pioneers,Coastal Metro Conference,new
Grover Cleveland,Port Veles,Bidwell,Harborline,1200000,2749,7A,False,namesake,Stags,Coastal Metro Conference,new
Port Veles South,Port Veles,Bidwell,Harborline,1200000,2682,7A,False,magnet/technical,Pioneers,Coastal Metro Conference,new
Port Veles Foundry High,Port Veles,Bidwell,Harborline,1200000,1948,5A,False,district/neighborhood,Condors,Coastal Metro Conference,new
Port Veles Health Sciences Academy,Port Veles,Bidwell,Harborline,1200000,2001,5A,False,magnet/technical,Grizzlies,Coastal Metro Conference,new
Aleksandr Lebedev,Port Veles,Bidwell,Harborline,1200000,3189,7A,False,namesake,Bison,Harbor Cities League,new
Port Veles Episcopal,Port Veles,Bidwell,Harborline,1200000,2063,5A,False,namesake,Firebirds,Harbor Cities League,new
Harbor Gate,Port Veles,Bidwell,Harborline,1200000,3257,7A,False,district/neighborhood,Railers,Harbor Cities League,new
Port Veles North,Port Veles,Bidwell,Harborline,1200000,2625,7A,False,magnet/technical,Grizzlies,Harbor Cities League,new
Port Veles International Academy,Port Veles,Bidwell,Harborline,1200000,973,2A,True,private/independent,Sentinels,Harbor Cities League,new
Barack Obama,Port Veles,Bidwell,Harborline,1200000,2939,7A,False,namesake,Marlins,Harbor Cities League,new
Veles Basin,Port Veles,Bidwell,Harborline,1200000,2784,7A,False,namesake,Miners,Harbor Cities League,new
Admiralty High,Santa Michaela,Bidwell,Harborline,320000,1955,5A,False,district/neighborhood,Spartans,Maritime Athletic Conference,new
Anneliese Ricci,Santa Michaela,Bidwell,Harborline,320000,2519,6A,False,namesake,Vikings,Maritime Athletic Conference,new
Hazel Bennett,Santa Michaela,Bidwell,Harborline,320000,2488,6A,False,namesake,Sentinels,Maritime Athletic Conference,new
Heritage Christian Academy,Santa Michaela,Bidwell,Harborline,320000,2891,7A,False,namesake,Condors,Maritime Athletic Conference,new
Jeannette Freeman,Santa Michaela,Bidwell,Harborline,320000,2525,6A,False,namesake,Comets,Maritime Athletic Conference,new
Nathaniel Moss,Santa Michaela,Bidwell,Harborline,320000,2007,5A,False,namesake,Spartans,Maritime Athletic Conference,new
Santa Michaela,Santa Michaela,Bidwell,Harborline,320000,1885,5A,False,city flagship,Miners,Maritime Athletic Conference,new
Santa Michaela Admiralty High,Santa Michaela,Bidwell,Harborline,320000,2602,7A,False,district/neighborhood,Trojans,Maritime Athletic Conference,new
Santa Michaela Harbor Gate,Santa Michaela,Bidwell,Harborline,320000,1995,5A,False,district/neighborhood,Trojans,Maritime Athletic Conference,new
Sacred Heart Cathedral,Santa Michaela,Bidwell,Harborline,320000,2171,5A,False,namesake,Panthers,Maritime Athletic Conference,new
Amelia Freeman,Port Veles,Bidwell,Harborline,1200000,3228,7A,False,namesake,Falcons,Pacific Gateway Conference,new
William Henry Harrison,Port Veles,Bidwell,Harborline,1200000,1938,5A,False,namesake,Miners,Pacific Gateway Conference,new
Gerald Ford,Port Veles,Bidwell,Harborline,1200000,2688,7A,False,namesake,Foxes,Pacific Gateway Conference,new
Port Veles,Port Veles,Bidwell,Harborline,1200000,2843,7A,False,city flagship,Mustangs,Pacific Gateway Conference,new
Seafarer High,Port Veles,Bidwell,Harborline,1200000,2555,6A,False,district/neighborhood,Owls,Pacific Gateway Conference,new
St. Elias,Port Veles,Bidwell,Harborline,1200000,1511,4A,True,private/independent,Sentinels,Pacific Gateway Conference,new
St. Vincent,Port Veles,Bidwell,Harborline,1200000,1762,4A,True,private/independent,Foxes,Pacific Gateway Conference,new
Veles Cove,Port Veles,Bidwell,Harborline,1200000,2005,5A,False,namesake,Owls,Pacific Gateway Conference,new
Veles Narrows,Port Veles,Bidwell,Harborline,1200000,2743,7A,False,namesake,Spartans,Pacific Gateway Conference,new
Bay Oregon,Alder Landing,Weller,Harborline,13491,486,1A,False,district/neighborhood,Grizzlies,Portside Conference,new
Bahía Azúl,Bahía Azúl,Weller,Harborline,7000,504,1A,False,city flagship,Foxes,Portside Conference,new
Cabo Esperanza,Cabo Esperanza,Weller,Harborline,25000,1120,3A,False,city flagship,Ravens,Portside Conference,new
Cabo Esperanza Technical Arts Academy,Cabo Esperanza,Weller,Harborline,25000,680,2A,False,magnet/technical,Timberwolves,Portside Conference,new
Fort Weller,Fort Weller,Weller,Harborline,42000,1104,3A,False,city flagship,Wolves,Portside Conference,new
Fort Weller Independent,Fort Weller,Weller,Harborline,42000,846,2A,True,private/independent,Owls,Portside Conference,new
Earl Warren,Fort Weller,Weller,Harborline,42000,1074,3A,False,namesake,Titans,Portside Conference,new
Hazel Hart,Los Maderos,Bidwell,Harborline,38000,793,2A,False,namesake,Eagles,Portside Conference,new
Los Maderos,Los Maderos,Bidwell,Harborline,38000,824,2A,False,city flagship,Pilots,Portside Conference,new
Maksim Karev,Los Maderos,Bidwell,Harborline,38000,1119,3A,False,namesake,Eagles,Portside Conference,new
Port Ainsley,Port Ainsley,Bidwell,Harborline,15000,717,2A,False,city flagship,Hawks,Portside Conference,new
St. Elias Academy,Port Ainsley,Bidwell,Harborline,15000,363,1A,True,private/independent,Lancers,Portside Conference,new
Tamarack Harbor Civic Leadership Academy,Tamarack Harbor,Weller,Harborline,20863,751,2A,False,magnet/technical,Titans,Portside Conference,new
Tule Admiralty High,Tule,Bidwell,Harborline,18551,668,2A,False,district/neighborhood,Railers,Portside Conference,new
Zachary Taylor,Port Veles,Bidwell,Harborline,1200000,3000,7A,False,namesake,Spartans,Shipwright League,new
Franklin Pierce,Port Veles,Bidwell,Harborline,1200000,2353,6A,False,namesake,Navigators,Shipwright League,new
Calvin Coolidge,Port Veles,Bidwell,Harborline,1200000,3100,7A,False,namesake,Firebirds,Shipwright League,new
Anton Sidorov,Port Veles,Bidwell,Harborline,1200000,2769,7A,False,namesake,Falcons,Shipwright League,new
Veles Harbor,Port Veles,Bidwell,Harborline,1200000,2999,7A,False,namesake,Comets,Shipwright League,new
Port Veles Civic Academy,Port Veles,Bidwell,Harborline,1200000,1557,4A,True,private/independent,Mavericks,Shipwright League,new
Port Veles Maritime Academy,Port Veles,Bidwell,Harborline,1200000,2333,6A,False,magnet/technical,Loggers,Shipwright League,new
Roscoe Bennett,Port Veles,Bidwell,Harborline,1200000,3371,7A,False,namesake,Owls,Shipwright League,new
St. Helena College Prep,Port Veles,Bidwell,Harborline,1200000,1633,4A,True,private/independent,Loggers,Shipwright League,new
Gordon Parks,Navrang,Rimrock,Juniper Highlands,70000,1266,3A,False,namesake,Stags,High Basin League,new
Juniper Ridge,Navrang,Rimrock,Juniper Highlands,70000,1259,3A,False,district/neighborhood,Steelheads,High Basin League,new
Sinkford,Navrang,Rimrock,Juniper Highlands,70000,1037,3A,False,namesake,Navigators,High Basin League,new
Edith Ward,Telfair,Rimrock,Juniper Highlands,65000,1312,3A,False,namesake,Navigators,High Basin League,new
Telfair,Telfair,Rimrock,Juniper Highlands,65000,1180,3A,False,city flagship,Panthers,High Basin League,new
Telfair Country Day,Telfair,Rimrock,Juniper Highlands,65000,885,2A,True,private/independent,Spartans,High Basin League,new
